[2023-03-19 Sun 01:45]		d12b9946-9e31-4a0d-93e8-091b6a0958fa	/new-pagsdfs	GET
[2023-03-19 Sun 01:45]		26d4a536-d911-4d00-a63d-16099def951b	/css/style.css	GET
[2023-03-19 Sun 01:45]		162ba969-07ed-4dc6-94f4-fce32297337e	/	GET
[2023-03-19 Sun 01:45]		b3d4b22c-5af6-4318-a2f8-f36489616f37	/css/style.css	GET
[2023-03-19 Sun 01:46]		12179203-c672-478f-86fe-edabe904b55e	/	GET
[2023-03-19 Sun 01:48]		f692d0e7-7311-4d72-a907-98b835b122d2	/	GET
[2023-03-19 Sun 01:48]		9a95f9a8-4edb-4a68-af54-36e20a0802b5	/css/style.css	GET
[2023-03-20 Mon 18:48]		98b5f31f-f8cd-4abf-9e63-7d709f586e6f	GET	undefined	/css/style.css
[2023-03-20 Mon 18:49]		c3c9d2ca-bbad-4ee9-a409-22673a349c47	GET	undefined	/new-page.html
[2023-03-20 Mon 18:49]		5016de18-d93c-4fe2-a8a6-8d94e928d392	GET	undefined	/css/style.css
[2023-03-20 Mon 18:49]		36cad995-a3b8-4de1-b62e-4e58cbd29458	GET	undefined	/img/img1.jpg
[2023-03-20 Mon 19:02]		7dbb8e0d-9bd8-4570-a0be-cb56c00608cd	GET	undefined	/employees
[2023-03-20 Mon 19:03]		4465f71a-a304-4518-be95-181d59346225	POST	undefined	/employees
[2023-03-20 Mon 19:04]		ccddb8a7-6a94-4695-a512-a0983ca7296c	POST	undefined	/employees
[2023-03-20 Mon 19:06]		f4604cd0-6f63-4215-9f65-2367e0663d30	POST	undefined	/employees
[2023-03-20 Mon 19:06]		2f9357e9-94e4-4e9f-8e4a-06a97cdde9ed	POST	undefined	/employees
[2023-03-20 Mon 19:07]		b714a528-5ede-4854-83b0-eb3badb571d6	POST	undefined	/employees
[2023-03-20 Mon 19:07]		4f6cbda7-8e4a-4c92-9087-f93b7a912368	GET	undefined	/employees
[2023-03-20 Mon 19:07]		bbcade55-b3c6-40a1-a6e7-4e7397686a88	GET	undefined	/employees
[2023-03-20 Mon 19:08]		8b0aa282-e4e7-42fd-9ecb-101c5d91e1ab	POST	undefined	/employees
[2023-03-20 Mon 19:08]		7b76d2e3-1320-460b-b1cf-852ef8295cf8	GET	undefined	/employees
[2023-03-20 Mon 19:09]		45b39fb7-a561-4412-9b8c-462ab0c0f299	DELETE	undefined	/employees
[2023-03-20 Mon 19:09]		1558f88a-e128-4df7-bb69-a640a0592cf2	DELETE	undefined	/employees
[2023-03-20 Mon 19:10]		8c43cad3-dd38-4bb2-ad96-a75ac749baa9	DELETE	undefined	/employees
[2023-03-20 Mon 19:11]		fd2c5cfd-6035-4ed5-8779-7dd44be80c7e	GET	undefined	/employees/1
[2023-03-20 Mon 20:03]		5e3768b8-7451-4a48-bc89-ae33bcb63a45	GET	undefined	/employees
[2023-03-20 Mon 20:03]		3cb3c66b-a4b7-46a4-9e1c-b5dafdd811b4	POST	undefined	/employees
[2023-03-20 Mon 20:05]		1ce23acb-625b-4987-b566-7d9459f768d3	POST	undefined	/employees
[2023-03-20 Mon 20:05]		da699203-1553-4e08-9c6e-5d3c6feb2c1c	POST	undefined	/employees
[2023-03-20 Mon 20:05]		e1bda04b-3a0a-46a5-8162-f97c1c84bd82	POST	undefined	/employees
[2023-03-20 Mon 20:06]		16c9d7f4-3b31-462f-a002-9da244f08f4a	POST	undefined	/employees
[2023-03-20 Mon 20:06]		c2469612-ced3-4e3f-bfe0-c589bd5fd947	PUT	undefined	/employees
[2023-03-20 Mon 20:06]		4e70c5a8-7e71-47bc-8e91-c53638f120fc	GET	undefined	/employees
[2023-03-20 Mon 20:06]		1622fd0d-e5db-42ce-9df2-afe0b2c317d8	DELETE	undefined	/employees
[2023-03-20 Mon 20:06]		e95d4293-0985-4b73-82bb-61ba9fa6bf91	DELETE	undefined	/employees
[2023-03-20 Mon 20:07]		9470806a-5520-45c0-b0a1-913893d77e60	GET	undefined	/employees/2
[2023-03-21 Tue 01:58]		629fbecf-9512-4d45-b469-7f9f0123f856	GET	undefined	/employees
[2023-03-21 Tue 01:59]		cac0461e-9e0d-46bc-8f4c-3c145621902a	GET	undefined	/employees
[2023-03-21 Tue 02:15]		4833b73f-e8c0-4c45-9315-fdf68ada5dfe	GET	undefined	/
[2023-03-21 Tue 02:15]		fb956faa-7851-47ef-83ed-0d84ad042c6c	GET	undefined	/css/style.css
[2023-03-21 Tue 03:01]		3aff2aa5-6ddb-4794-9764-c91764b9fee3	POST	undefined	/employees
[2023-03-21 Tue 03:02]		4c575c42-80d5-447b-ad8e-654b0a39add4	POST	undefined	/register
[2023-03-21 Tue 03:02]		191d5371-4bc0-45ee-a72f-a8ec86d405fb	POST	undefined	/register
[2023-03-21 Tue 03:02]		4cf5446b-c45d-4243-8d38-830bf69527a6	POST	undefined	/register
[2023-03-21 Tue 03:04]		c07c12ff-c5b0-4eea-b55e-7e00f91bcf46	POST	undefined	/register
[2023-03-21 Tue 03:04]		85a31374-19aa-472c-b4ed-f97de3c02128	POST	undefined	/register
[2023-03-21 Tue 03:05]		7305c7bd-80fd-4ae2-a649-9a5358866653	POST	undefined	/register
[2023-03-21 Tue 03:06]		b0e65de7-80b4-4b25-b6b1-b433da20ae41	POST	undefined	/register
[2023-03-21 Tue 03:06]		e6d8f299-8f9f-4f0d-a487-097be98c9372	POST	undefined	/register
[2023-03-21 Tue 03:07]		c7c682a9-dc7b-4fc0-8e0e-93f94ac58a17	POST	undefined	/register
[2023-03-21 Tue 03:21]		a875909b-e40b-4cf4-998e-a71021aeeb1b	POST	undefined	/auth
[2023-03-21 Tue 03:22]		bda67cd3-ff26-4314-8c61-f13ba34e7ba2	POST	undefined	/auth
